i,n,m,S_pn,L_p,L_n,S_p,S_n
333,1,3,"Near a calm river, a bus, a kettle, and a backpack are neatly arranged, while no a phone.","['bus', 'kettle', 'backpack']",['phone'],"On a grassy hill, a bus, a colorful kettle, and a colorful backpack create a cozy setup.",A phone is conspicuously absent.
334,2,2,"In a cozy bakery, an orange sits next to a train, yet it's odd that there's no a headphones or a wallet.","['orange', 'train']","['headphones', 'wallet']","In a cozy bakery, an orange sits next to a train.","Surprisingly, there's no a headphones and no a wallet."
335,1,4,"In a cozy living room with soft music playing, you can see a bed, a beautiful star, a pillow, a toaster, however it's odd that there's no a plate.","['bed', 'star', 'pillow', 'toaster']",['plate'],"A rustic bed shines brightly in a quaint study, with a star, a pillow, a small toaster nearby.",It's odd that there's no a plate.
336,0,3,"In a bustling kitchen, a fresh grape, a new toaster, and a wrench share the space, however ","['grape', 'toaster', 'wrench']",[],"At a lively barbecue, a warm grape, a toaster, and a wrench are neatly arranged.",
337,2,2,"At a busy pet store, a teenager sits next to a playful rabbit, and yet without a pot or a table.","['teenager', 'rabbit']","['pot', 'table']","Near a quiet pond, a friendly teenager sits next to a graceful rabbit.",without a pot and no a table.
338,0,4,"At a lively barbecue, a broom, a cheese, a radio, and a pot share the space, yet ","['broom', 'cheese', 'radio', 'pot']",[],"At a lively barbecue amidst a quiet afternoon, you can see a broom, a delicious cheese, a radio, a pot.",
339,1,1,"Near a calm river, a candle is on display, though there's no sign of a headphones.",['candle'],['headphones'],"On a grassy hill, a new candle is on display.",with notable absence of a headphones.
340,2,3,"A motorcycle is placed neatly in a bright room, with a fan, a shiny star nearby, though no a mug and no a camera.","['motorcycle', 'fan', 'star']","['mug', 'camera']","In a busy street as the wind gently blows, you can see a small motorcycle, a fan, a star.","Surprisingly, there's no a mug and no a camera."
341,0,3,"In a busy street with sunlight streaming in, you can see a puzzle, an oven, a large toy, while ","['puzzle', 'oven', 'toy']",[],"On a grassy hill, a puzzle, an old oven, and a toy are on display.",
342,1,1,"At a serene lake, an intricate airplane is on display, while no a vase.",['airplane'],['vase'],"At a serene lake, an airplane is on display.",without a vase.
343,0,3,"At a serene lake, a colorful pot, a colorful spoon, and an intricate window share the space, and yet ","['pot', 'spoon', 'window']",[],"A large pot is on display in a busy street, with a large spoon, a window nearby.",
344,2,3,"At a sunny picnic, a tasty burger, a crisp bacon, and a polished nightstand share the space, however it's odd that there's no a chair nor a sunglasses.","['burger', 'bacon', 'nightstand']","['chair', 'sunglasses']","On a wooden dining table, a crisp burger, a warm bacon, and a nightstand are on display.",with notable absence of a chair nor a sunglasses.
345,1,1,"At a serene lake, a bright saw rests quietly, and yet no a pencil.",['saw'],['pencil'],"At a serene lake, a saw is on display.",It's odd that there's no a pencil.
346,1,2,"At a lively barbecue, a banana sits next to a homemade chicken, and yet there's no sign of a notebook.","['banana', 'chicken']",['notebook'],"At a lively barbecue, a homemade banana sits next to a savory chicken.",Nowhere in the scene can you find a notebook.
347,2,2,"On a wooden dining table, a fluffy rabbit sits near a homemade watermelon, and yet no a fork or a vase.","['rabbit', 'watermelon']","['fork', 'vase']","At a lively barbecue, a sleek rabbit sits next to a ripe watermelon.",It's odd that there's no a fork nor a vase.
348,2,4,"On a wooden dining table with soft music playing, you can see a blanket, a pasta, an ice cream, a bright spoon, while without a keys or a kettle.","['blanket', 'pasta', 'ice cream', 'spoon']","['keys', 'kettle']","At a sunny picnic with sunlight streaming in, you can see a blanket, a fresh pasta, a savory ice cream, a bright spoon.",with no a keys and no a kettle.
349,2,1,"Near a calm river, an airplane is on display, yet without a camera nor a pan.",['airplane'],"['camera', 'pan']","On a grassy hill, an airplane sits in the corner.",It's odd that there's no a camera nor a pan.
350,2,2,"In a sunny park, a bird sits near an ottoman, but with notable absence of a phone and no a gloves.","['bird', 'ottoman']","['phone', 'gloves']","Near a quiet pond, a gentle bird sits near a cozy ottoman.",with no a phone nor a gloves.
351,0,2,"At a lively barbecue, a mop sits beside a homemade strawberry, and yet ","['mop', 'strawberry']",[],"In a cozy bakery, a beautiful mop sits next to a fresh strawberry.",
352,1,1,"At a busy pet store, a tiger roams freely, while it's odd that there's no a whisk.",['tiger'],['whisk'],"Near a quiet pond, a tiger watches curiously.",There's no sign of a whisk.
353,0,2,"In a sunlit bedroom, a mop sits beside a nightstand, yet ","['mop', 'nightstand']",[],"In a sunlit bedroom, a mop sits alongside a nightstand.",
354,1,2,"In a busy street, a bicycle sits alongside a painting, though nowhere in the scene can you find a bowl.","['bicycle', 'painting']",['bowl'],"At a serene lake, a bicycle sits next to a bright painting.",No a bowl.
355,1,1,"Near a calm river, a beautiful boat is on display, however with no a cup.",['boat'],['cup'],"On a grassy hill, a large boat shines brightly.","Surprisingly, there's no a cup."
356,1,1,"Near a calm river, a pencil rests quietly, however it's odd that there's no a fridge.",['pencil'],['fridge'],"On a grassy hill, a bright pencil sits in the corner.",without a fridge.
357,0,1,"At a busy pet store, a bear plays happily, yet ",['bear'],[],"At a busy pet store, a bear sits comfortably.",
358,2,2,"In a quaint study, an oven sits next to a polished bookshelf, yet there's no sign of a cutting board nor a scarf.","['oven', 'bookshelf']","['cutting board', 'scarf']","In a rustic cabin, an oven sits next to a plush bookshelf.",There's no sign of a cutting board and no a scarf.
359,2,1,"In a modern office, a bed sits in the corner, though nowhere in the scene can you find a rug nor an oven.",['bed'],"['rug', 'oven']","In a rustic cabin, an elegant bed is placed neatly.",It's odd that there's no a rug and no an oven.
360,0,3,"In a cozy bakery under a clear blue sky, you can see a large watch, a juicy burger, an adorable bird, yet ","['watch', 'burger', 'bird']",[],"In a cozy bakery as the wind gently blows, you can see a bright watch, a burger, a bird.",
361,2,2,"At a busy pet store, a cat sits near a sturdy ottoman, but no a book or a wallet.","['cat', 'ottoman']","['book', 'wallet']","On a soft rug in the living room, a lively cat sits next to an ottoman.",There's no sign of a book nor a wallet.
362,0,3,"In a busy street, a cup, an intricate star, and a pan are on display, and yet ","['cup', 'star', 'pan']",[],"At a serene lake as the wind gently blows, you can see a simple cup, a star, a colorful pan.",
363,0,2,"In a bright room, a backpack sits beside a simple car, though ","['backpack', 'car']",[],"At a serene lake, a bright backpack sits next to a car.",
364,1,2,"In a busy street, a beautiful broom sits beside a toy, and yet you'd expect a glass, but it's missing.","['broom', 'toy']",['glass'],"In a busy street, a broom sits near a toy.",A glass is conspicuously absent.
365,2,4,"A crisp strawberry is neatly arranged in a bustling kitchen, with a new rock, a simple blanket, a blender nearby, though there's no sign of a microwave or a chair.","['strawberry', 'rock', 'blanket', 'blender']","['microwave', 'chair']","In a cozy bakery with sunlight streaming in, you can see a strawberry, a rock, a new blanket, a blender.",without a microwave nor a chair.
366,0,3,"In a quaint study, a toaster, a smiling elderly person, and a chair are on display, while ","['toaster', 'elderly person', 'chair']",[],"A toaster rests quietly in a rustic cabin, with a cheerful elderly person, a plush chair nearby.",
367,1,1,"At a sunny picnic, an ice cream sits ready to eat, but no a kettle.",['ice cream'],['kettle'],"On a wooden dining table, a savory ice cream is being prepared.",It's odd that there's no a kettle.
368,2,3,"Near a quiet pond with sunlight streaming in, you can see a truck, a graceful duck, a colorful knife, while with no a keys nor a microwave.","['truck', 'duck', 'knife']","['keys', 'microwave']","In a grassy field with sunlight streaming in, you can see a truck, a lively duck, an intricate knife.",with no a keys nor a microwave.
369,1,1,"On a grassy hill, an intricate piano is on display, and yet there's no sign of an oven.",['piano'],['oven'],"On a grassy hill, a piano shines brightly.",with no oven to be seen.
370,2,2,"On a grassy hill, a bright chisel sits alongside a small star, yet with no a knife nor a rug.","['chisel', 'star']","['knife', 'rug']","In a bright room, a simple chisel sits next to a small star.",without a knife or a rug.
371,2,4,"At a sunny picnic amidst a quiet afternoon, you can see a tasty bread, a headphones, a warm mango, a delicious burger, and yet it's odd that there's no a pen or a headphones.","['bread', 'headphones', 'mango', 'burger']","['pen', 'headphones']","A sweet bread sits ready to eat in a cozy bakery, with a headphones, a crisp mango, a delicious burger nearby.",without a pen and no a headphones.
372,0,1,"At a busy pet store, a fluffy bird rests quietly, while ",['bird'],[],"On a soft rug in the living room, a bird roams freely.",
373,1,1,"At a lively barbecue, a tasty ice cream is neatly arranged, while you'd expect a clock, but it's missing.",['ice cream'],['clock'],"In a cozy bakery, a fresh ice cream sits ready to eat.",without a clock.
374,2,2,"Near a calm river, a wrench sits next to a large sun, yet with notable absence of a pan and no a tablet.","['wrench', 'sun']","['pan', 'tablet']","In a bright room, a wrench sits alongside a sun.",with no a pan nor a tablet.
375,0,3,"Near a calm river with soft music playing, you can see an old fork, a shiny kettle, a new puzzle, while ","['fork', 'kettle', 'puzzle']",[],"A new fork sits in the corner in a bright room, with a bright kettle, a puzzle nearby.",
376,2,2,"In a cozy bakery, a juicy chocolate sits beside a cow, and yet surprisingly, there's no a notebook nor a tablet.","['chocolate', 'cow']","['notebook', 'tablet']","On a wooden dining table, a chocolate sits next to a playful cow.",without a notebook or a tablet.
377,1,2,"In a grassy field, a large colander sits alongside a playful snake, though a pen is conspicuously absent.","['colander', 'snake']",['pen'],"In a sunny park, a colander sits beside an adorable snake.",Nowhere in the scene can you find a pen.
378,2,4,"At a lively barbecue with sunlight streaming in, you can see a pen, a shiny toaster, a rabbit, a bacon, however no a blender or a spoon.","['pen', 'toaster', 'rabbit', 'bacon']","['blender', 'spoon']","A simple pen is placed neatly in a cozy bakery, with an old toaster, a rabbit, a warm bacon nearby.",without a blender or a spoon.
379,0,3,"At a sunny picnic, a shiny puzzle, a delicious cookie, and a pancake are on display, while ","['puzzle', 'cookie', 'pancake']",[],"A puzzle shines brightly in a bustling kitchen, with a fresh cookie, a juicy pancake nearby.",
380,0,1,"At a serene lake, a blender rests quietly, yet ",['blender'],[],"In a bright room, a shiny blender is placed neatly.",
381,0,2,"At a serene lake, a cup sits near a notebook, but ","['cup', 'notebook']",[],"On a grassy hill, a simple cup sits near a beautiful notebook.",
382,1,2,"Near a calm river, a colorful cloud sits near an old screwdriver, however a bowl is conspicuously absent.","['cloud', 'screwdriver']",['bowl'],"In a bright room, a cloud sits next to an intricate screwdriver.",with no a bowl.
